	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
C1QTNF3-AMACR	0	0	0
C1QTNF3	1	1	4
RAI14	2104	2342	6301
TTC23L	2	0	6
RAD1	87	91	278
BRIX1	373	380	1169
DNAJC21	654	622	1837
AGXT2	0	0	0
PRLR	0	0	0
SPEF2	14	9	22
IL7R	90	122	310
CAPSL	0	0	0
UGT3A1	0	0	0
UGT3A2	1	0	0
LMBRD2	81	71	154
MIR580	0	0	0
SKP2	236	238	694
RANBP3L	0	0	0
SLC1A3	53	78	198
NIPBL	851	977	2558
NUP155	227	256	678
WDR70	326	336	970
GDNF	5	4	8
EGFLAM	16	22	53
EGFLAM-AS4	0	0	0
LIFR	39	33	124
MIR3650	0	0	0
OSMR	1582	1816	4831
RICTOR	280	300	754
C9	2	0	0
DAB2	339	318	876
PTGER4	81	72	249
TTC33	148	189	450
PRKAA1	460	441	1274
LOC100506548	386	403	1347
RPL37	7701	7276	21185
SNORD72	0	0	0
CARD6	455	510	1373
C7	0	1	0
MROH2B	0	0	0
C6	0	0	0
PLCXD3	0	0	0
OXCT1	372	447	1214
C5orf51	172	143	415
FBXO4	12	8	28
GHR	11	19	48
CCDC152	4	7	34
LOC648987	19	34	66
ANXA2R	1	3	2
LOC153684	4	6	11
LOC100132356	1	0	4
ZNF131	323	319	1001
HMGCS1	2857	3232	9199
CCL28	111	173	392
C5orf34	17	9	38
PAIP1	550	584	1517
NNT	456	476	1139
FGF10	0	0	0
MRPS30	186	151	439
HCN1	0	0	0
EMB	427	432	1392
PARP8	441	504	1352
LOC642366	10	9	13
ISL1	22	23	81
PELO	333	283	859
ITGA1	45	64	198
ITGA2	2804	3099	9501
MOCS2	381	395	1232
LOC257396	28	19	54
FST	717	724	1837
NDUFS4	437	421	1332
ARL15	52	71	205
MIR581	0	0	0
HSPB3	1	2	6
SNX18	289	264	744
ESM1	0	0	0
GZMK	0	0	0
GZMA	0	0	0
CDC20B	0	0	0
GPX8	388	447	1339
MIR449A	0	0	0
MIR449B	0	0	0
MIR449C	0	0	0
CCNO	10	7	17
DHX29	629	677	1786
MIR5687	0	0	0
RNF138P1	0	0	0
SLC38A9	164	225	536
DDX4	0	0	0
IL31RA	23	37	92
IL6ST	823	927	2547
ANKRD55	0	0	3
MAP3K1	150	176	525
SETD9	8	13	28
MIER3	201	202	473
GPBP1	493	510	1451
ACTBL2	15	12	62
PLK2	2243	2409	6476
GAPT	0	0	0
RAB3C	0	0	0
PDE4D	78	77	244
PART1	21	27	97
DEPDC1B	56	54	216
ELOVL7	75	96	259
ERCC8	71	73	246
NDUFAF2	1173	1363	3747
SMIM15	360	322	1066
ZSWIM6	686	731	2091
C5orf64	0	0	0
KIF2A	331	388	1153
DIMT1	124	150	323
IPO11	83	93	289
LRRC70	0	0	0
IPO11-LRRC70	0	0	0
HTR1A	0	0	0
RNF180	29	57	136
RGS7BP	0	0	0
SREK1IP1	455	390	1262
CWC27	713	852	2024
ADAMTS6	36	41	103
CENPK	17	21	51
PPWD1	318	386	1037
TRIM23	77	100	231
TRAPPC13	172	151	406
SGTB	104	122	300
NLN	827	872	2454
LOC100303749	0	0	0
SREK1	1399	1692	4727
MAST4	1251	1218	3611
CD180	0	0	0
PIK3R1	323	369	1061
SLC30A5	249	278	837
CCNB1	208	230	580
CENPH	28	28	73
MRPS36	97	109	293
CDK7	841	900	2579
CCDC125	107	122	394
TAF9	959	1108	3108
RAD17	285	273	790
MARVELD2	383	435	1133
OCLN	119	123	390
GTF2H2C	0	0	0
GUSBP3	0	0	0
SERF1A	0	0	0
SERF1B	0	0	0
SMN2	0	0	0
SMN1	0	0	0
SMA4	3	4	9
GTF2H2B	2	1	5
SMA5	0	0	0
LOC441081	0	0	0
GUSBP9	0	0	0
NAIP	11	12	22
GTF2H2	23	28	58
PMCHL2	0	0	0
BDP1	644	770	2102
MCCC2	706	735	2279
CARTPT	0	0	0
MAP1B	768	768	2338
MIR4803	0	0	0
MRPS27	724	825	2389
PTCD2	98	104	224
ZNF366	0	0	0
TNPO1	1625	1664	4672
MIR4804	0	0	0
FCHO2	390	368	1299
TMEM171	72	75	244
TMEM174	0	0	0
FOXD1	107	88	260
BTF3	4204	4293	12884
ANKRA2	252	230	703
UTP15	190	221	626
ARHGEF28	1022	1086	2989
ENC1	1383	1432	4770
HEXB	708	786	1938
GFM2	895	970	2726
NSA2	1955	2193	6511
FAM169A	79	98	312
GCNT4	54	42	106
ANKRD31	2	1	11
HMGCR	1715	1890	5772
COL4A3BP	596	621	1742
POLK	190	185	598
ANKDD1B	6	10	62
POC5	93	110	389
SV2C	0	0	0
IQGAP2	0	4	0
F2RL2	0	0	6
NCRUPAR	0	0	0
F2R	438	379	1145
F2RL1	161	144	456
S100Z	0	0	0
CRHBP	0	0	0
AGGF1	324	363	985
ZBED3	3	1	7
SNORA47	0	0	0
ZBED3-AS1	0	1	0
PDE8B	0	0	1
WDR41	392	415	1209
OTP	0	0	0
TBCA	2681	2497	6323
AP3B1	998	1079	2927
SCAMP1	421	408	1199
LHFPL2	454	485	1415
ARSB	165	169	518
DMGDH	0	0	0
BHMT2	5	0	0
BHMT	0	0	0
JMY	133	132	366
HOMER1	127	175	424
CMYA5	28	22	59
MTX3	234	240	727
THBS4	4	10	19
SERINC5	665	667	2007
LOC644936	0	0	1
SPZ1	0	0	0
CRSP8P	0	0	3
ZFYVE16	283	290	824
FAM151B	2	6	20
ANKRD34B	1	0	0
DHFR	91	90	216
MTRNR2L2	0	1	1
MSH3	184	160	475
RASGRF2	7	3	30
RNU5E-1	0	0	0
RNU5D-1	0	0	0
CKMT2	0	0	0
ZCCHC9	321	336	887
ACOT12	0	0	0
SSBP2	171	239	537
ATG10	46	51	116
RPS23	3142	3379	10416
ATP6AP1L	22	17	40
MIR3977	0	0	0
TMEM167A	837	823	2335
SCARNA18	0	0	0
XRCC4	78	78	248
VCAN	3813	3864	9989
HAPLN1	0	0	0
EDIL3	61	70	162
NBPF22P	0	0	0
COX7C	1326	1257	3727
MIR4280	0	0	0
RASA1	1240	1260	3817
CCNH	252	244	748
TMEM161B	168	156	381
TMEM161B-AS1	46	49	154
LINC00461	0	0	0
MIR9-2	0	0	0
MEF2C	12	26	61
MIR3660	0	0	0
CETN3	262	266	830
MBLAC2	45	29	124
POLR3G	193	218	539
LYSMD3	181	169	440
ARRDC3	949	1052	2421
ARRDC3-AS1	6	8	36
NR2F1	5	1	5
MIR548AO	0	0	0
FAM172A	147	126	309
MIR2277	0	0	0
POU5F2	0	0	0
KIAA0825	6	11	45
MCTP1	53	66	228
FAM81B	0	0	2
TTC37	1182	1301	3751
ARSK	96	105	366
GPR150	0	0	0
RFESD	7	9	9
SPATA9	1	0	4
RHOBTB3	364	366	873
GLRX	434	495	1422
ELL2	2517	2477	7584
MIR583	0	0	0
PCSK1	8	4	3
CAST	4782	5244	16815
ERAP1	263	301	745
ERAP2	818	884	2191
LNPEP	203	199	553
LIX1	0	0	0
RIOK2	208	283	824
RGMB	175	181	531
CHD1	588	634	1647
LOC100289230	2	1	4
LOC100133050	1	0	0
FAM174A	208	193	520
ST8SIA4	1	2	3
SLCO4C1	3	3	2
SLCO6A1	0	0	0
PAM	2329	2520	7028
GIN1	50	41	148
PPIP5K2	193	158	466
C5orf30	67	76	198
NUDT12	152	160	483
RAB9BP1	0	0	0
EFNA5	172	138	541
FBXL17	97	113	303
FER	114	110	351
PJA2	867	980	2733
MAN2A1	461	533	1471
TMEM232	3	2	12
SLC25A46	168	143	463
TSLP	30	29	85
WDR36	357	344	1128
CAMK4	3	2	5
STARD4	216	228	673
STARD4-AS1	3	5	12
NREP	79	94	279
NREP-AS1	0	0	0
EPB41L4A-AS1	91	105	257
SNORA13	2	0	0
EPB41L4A	248	284	831
APC	571	629	1692
SRP19	998	1187	3362
REEP5	1048	1176	3262
DCP2	83	103	275
MCC	1108	1041	2989
TSSK1B	0	0	0
YTHDC2	444	449	1249
KCNN2	0	0	0
TRIM36	16	8	18
PGGT1B	208	175	520
CCDC112	126	150	392
FEM1C	189	168	528
TMED7-TICAM2	0	0	0
TICAM2	0	1	0
TMED7	61	58	171
CDO1	0	0	0
ATG12	653	739	1960
AP3S1	337	336	1230
ARL14EPL	0	0	0
COMMD10	63	91	272
SEMA6A	157	154	472
DTWD2	25	27	85
DMXL1	267	275	756
TNFAIP8	244	244	703
HSD17B4	2211	2027	5621
FAM170A	0	0	0
PRR16	2	3	21
FTMT	0	0	0
SRFBP1	151	152	413
LOX	73	78	150
ZNF474	0	1	0
LOC100505841	0	0	1
SNCAIP	1	2	0
MGC32805	1	1	4
SNX2	743	813	2158
SNX24	173	190	490
PPIC	475	478	1251
PRDM6	1	1	3
CEP120	166	229	645
CSNK1G3	282	287	902
ZNF608	263	301	861
ALDH7A1	1581	1857	4980
PHAX	936	940	2882
LMNB1	147	169	416
MARCH3	1	4	15
C5orf63	53	59	205
MEGF10	1	1	2
PRRC1	1397	1382	4029
CTXN3	0	0	0
SLC12A2	198	166	501
FBN2	1406	1399	4208
SLC27A6	5	4	17
ISOC1	121	109	269
MIR4633	0	0	0
MIR4460	0	0	0
ADAMTS19	7	16	30
KIAA1024L	0	0	0
CHSY3	6	2	11
HINT1	2291	2056	6442
LYRM7	152	161	445
CDC42SE2	322	319	1059
RAPGEF6	176	197	529
FNIP1	243	226	747
ACSL6	2	2	0
IL3	0	0	0
CSF2	66	43	202
P4HA2	3153	3462	9444
PDLIM4	258	170	659
SLC22A4	5	5	7
MIR3936	7	4	10
SLC22A5	195	204	586
C5orf56	7	6	25
IRF1	311	344	787
IL5	0	0	0
RAD50	793	796	2338
IL13	0	0	0
IL4	0	0	0
KIF3A	602	699	1923
CCNI2	8	4	22
sep-08	899	843	2637
SOWAHA	0	0	1
SHROOM1	53	58	153
GDF9	1	4	2
UQCRQ	644	578	2075
LEAP2	1	2	0
AFF4	2282	2189	6451
ZCCHC10	124	146	418
HSPA4	3034	3142	9271
FSTL4	4	5	4
MIR1289-2	0	0	0
C5orf15	897	763	1998
VDAC1	5122	5877	16389
TCF7	28	20	86
SKP1	3315	3599	9699
PPP2CA	905	1058	3258
MIR3661	5	3	13
CDKL3	26	29	77
UBE2B	170	180	520
CDKN2AIPNL	99	105	298
SAR1B	331	328	961
SEC24A	494	468	1431
CAMLG	168	150	446
DDX46	1326	1496	4115
C5orf24	489	439	1296
TXNDC15	301	287	786
PCBD2	60	62	234
CATSPER3	4	2	21
PITX1	529	289	993
H2AFY	2439	2586	7704
TIFAB	0	0	0
NEUROG1	0	0	0
CXCL14	37	48	104
SLC25A48	0	0	0
IL9	0	0	0
FBXL21	0	0	0
LECT2	0	0	0
TGFBI	11529	12955	34402
VTRNA2-1	0	1	7
SMAD5-AS1	2	2	1
SMAD5	828	852	2394
TRPC7	0	0	0
SPOCK1	1793	1903	5424
KLHL3	66	81	237
MIR874	0	0	0
HNRNPA0	1127	939	2776
NPY6R	0	0	0
MYOT	3	7	23
PKD2L2	1	1	0
FAM13B	122	149	405
WNT8A	0	0	0
NME5	9	12	43
BRD8	505	562	1572
KIF20A	212	268	681
CDC23	466	517	1325
GFRA3	0	0	0
CDC25C	30	20	99
FAM53C	660	614	1862
KDM3B	1707	1895	5035
REEP2	44	36	70
EGR1	1758	1710	4702
ETF1	1795	2085	5667
HSPA9	4909	5642	15539
SNORD63	0	0	1
CTNNA1	7259	7836	21877
LRRTM2	0	0	3
SIL1	745	602	1780
SNHG4	24	33	115
MATR3	3830	4575	12276
SNORA74A	0	0	0
PAIP2	493	548	1643
SLC23A1	1	0	0
MZB1	1	0	0
PROB1	7	3	13
SPATA24	15	27	45
DNAJC18	54	74	187
ECSCR	0	3	3
TMEM173	422	457	1272
UBE2D2	454	471	1308
CXXC5	38	25	100
PSD2	0	0	0
NRG2	5	0	14
PURA	201	152	465
IGIP	30	23	51
CYSTM1	498	437	1457
PFDN1	674	692	2124
HBEGF	977	1055	3143
SLC4A9	0	0	15
ANKHD1	18	11	42
ANKHD1-EIF4EBP3	1	1	0
EIF4EBP3	3	2	2
SRA1	285	265	824
APBB3	39	45	132
SLC35A4	473	410	1238
CD14	7	3	6
TMCO6	63	38	171
NDUFA2	165	113	442
IK	1827	2109	5904
MIR3655	0	0	0
WDR55	497	486	1515
DND1	7	6	20
HARS	970	950	2746
HARS2	472	454	1435
ZMAT2	1234	1478	4677
VTRNA1-1	0	0	0
VTRNA1-2	10	6	28
VTRNA1-3	2	4	28
PCDHA1	0	2	0
PCDHA2	1	1	0
PCDHA3	1	0	0
PCDHA4	3	1	2
PCDHA5	0	0	0
PCDHA6	2	4	15
PCDHA7	0	3	0
PCDHA8	0	0	0
PCDHA9	0	0	3
PCDHA10	4	7	4
PCDHA11	4	2	11
PCDHA12	3	4	0
PCDHA13	0	3	2
PCDHAC1	4	6	5
PCDHAC2	14	21	62
PCDHB1	0	0	0
PCDHB2	11	10	22
PCDHB3	2	0	3
PCDHB4	2	0	12
PCDHB5	10	9	33
PCDHB6	1	0	1
PCDHB7	3	1	5
PCDHB8	0	1	5
PCDHB16	1	2	5
PCDHB9	1	1	4
PCDHB10	4	4	2
PCDHB11	4	2	0
PCDHB12	1	0	0
PCDHB13	4	6	5
PCDHB14	10	15	28
PCDHB19P	0	0	0
PCDHB15	5	6	24
SLC25A2	0	0	0
TAF7	1259	1553	4224
PCDHGA1	1	1	1
PCDHGA2	8	11	16
PCDHGA3	1	0	3
PCDHGB1	3	7	13
PCDHGA4	6	5	16
PCDHGB2	6	1	9
PCDHGA5	1	1	4
PCDHGB3	9	3	8
PCDHGA6	2	6	9
PCDHGA7	6	3	21
PCDHGB4	30	21	64
PCDHGA8	7	3	7
PCDHGB5	30	54	139
PCDHGA9	4	6	9
PCDHGB6	5	8	22
PCDHGA10	29	29	82
PCDHGB7	35	41	76
PCDHGA11	24	25	79
PCDHGB8P	0	0	0
PCDHGA12	19	17	60
PCDHGC3	251	216	620
PCDHGC4	0	1	4
PCDHGC5	5	10	23
DIAPH1	2954	3311	9531
LOC100505658	0	0	0
HDAC3	695	708	2240
RELL2	121	91	303
FCHSD1	462	359	902
ARAP3	410	368	1137
PCDH1	1851	1583	4799
LOC729080	0	0	0
PCDH12	20	12	42
RNF14	358	379	1156
GNPDA1	525	616	1569
NDFIP1	690	736	2342
SPRY4	201	167	668
FGF1	84	106	214
ARHGAP26	129	149	459
ARHGAP26-AS1	0	0	0
NR3C1	527	516	1472
MIR5197	0	0	0
HMHB1	0	0	0
YIPF5	632	603	1742
KCTD16	2	3	1
PRELID2	98	107	316
GRXCR2	0	0	1
SH3RF2	625	586	1687
PLAC8L1	7	3	9
LARS	1703	2007	6167
RBM27	759	853	2454
POU4F3	1	0	0
TCERG1	1543	1649	4675
GPR151	0	0	0
PPP2R2B	21	20	38
PPP2R2B-IT1	0	0	0
STK32A	10	22	43
DPYSL3	266	292	846
JAKMIP2-AS1	0	0	0
JAKMIP2	0	0	0
SPINK1	8	10	22
SCGB3A2	0	0	0
C5orf46	2	1	5
SPINK5	444	532	1664
SPINK14	0	0	0
SPINK6	2	2	6
SPINK13	0	0	0
SPINK7	1	1	3
SPINK9	0	0	0
FBXO38	549	597	1667
HTR4	0	1	0
ADRB2	526	594	1498
SH3TC2	249	231	807
ABLIM3	1467	1523	4637
AFAP1L1	308	335	916
GRPEL2	159	147	480
PCYOX1L	197	197	547
IL17B	0	0	0
MIR143	0	0	0
MIR145	0	0	0
CSNK1A1	1831	2012	5731
ARHGEF37	1029	1062	3000
PPARGC1B	85	97	352
PDE6A	5	5	10
SLC26A2	224	230	616
TIGD6	120	137	337
HMGXB3	1014	921	2804
CSF1R	3	6	7
PDGFRB	0	0	1
CDX1	0	0	0
SLC6A7	0	0	2
CAMK2A	5	2	5
ARSI	173	109	351
TCOF1	969	833	2744
CD74	319	277	710
RPS14	4754	4330	14468
NDST1	4857	4443	13450
SYNPO	3646	3203	9471
MYOZ3	6	3	16
RBM22	447	567	1578
DCTN4	423	458	1337
SMIM3	151	145	430
IRGM	0	0	1
ZNF300	113	140	341
ZNF300P1	22	32	64
GPX3	2979	3378	10041
TNIP1	5215	4470	14280
ANXA6	872	837	2526
CCDC69	131	140	383
GM2A	5279	5412	14695
SLC36A3	0	0	0
SLC36A2	0	0	0
SLC36A1	197	196	632
FAT2	4322	4214	11944
SPARC	680	693	1995
ATOX1	371	322	1097
G3BP1	1329	1530	4626
GLRA1	0	0	0
NMUR2	0	0	0
GRIA1	0	0	7
FAM114A2	381	458	1252
MFAP3	458	419	1170
GALNT10	1247	1282	3890
SAP30L	170	163	466
HAND1	0	0	0
MIR3141	0	0	0
LARP1	3600	3633	11063
CNOT8	386	387	1001
GEMIN5	329	373	1082
MRPL22	383	450	1268
KIF4B	1	1	1
SGCD	0	0	0
TIMD4	0	0	0
HAVCR1	2	0	0
HAVCR2	0	0	7
MED7	73	82	243
FAM71B	0	0	0
ITK	0	0	0
CYFIP2	183	225	612
FNDC9	0	0	0
NIPAL4	754	786	2104
ADAM19	805	812	2601
SOX30	4	4	6
C5orf52	0	0	0
THG1L	161	186	450
LSM11	35	34	93
CLINT1	2145	2252	6858
EBF1	0	0	0
RNF145	1575	1640	4710
UBLCP1	310	340	1021
IL12B	0	0	0
LOC285626	0	0	5
ADRA1B	22	17	84
TTC1	853	940	2960
PWWP2A	177	210	643
FABP6	27	17	71
CCNJL	154	130	402
C1QTNF2	1	2	5
SLU7	775	905	2648
PTTG1	669	780	2167
MIR3142	0	0	0
MIR146A	0	2	3
ATP10B	73	77	185
GABRB2	0	0	0
GABRA6	0	0	0
GABRA1	0	0	0
GABRG2	0	0	0
CCNG1	260	216	692
NUDCD2	140	83	275
HMMR	92	112	240
MAT2B	349	315	945
TENM2	2570	2596	6963
WWC1	867	791	2531
RARS	1165	1184	3274
FBLL1	1	0	0
PANK3	510	536	1615
MIR103A1	0	0	0
MIR103B1	0	0	0
SLIT3	84	73	250
MIR218-2	0	0	0
MIR585	0	0	0
SPDL1	155	190	533
DOCK2	9	13	8
MIR378E	0	0	0
FOXI1	0	0	0
C5orf58	0	0	0
LCP2	0	0	0
KCNIP1	0	0	0
KCNMB1	0	0	0
GABRP	220	222	643
RANBP17	19	19	46
TLX3	0	0	0
MIR3912	0	0	0
NPM1	7614	8367	25065
FGF18	2	0	2
FBXW11	725	731	2235
STK10	1010	962	2664
EFCAB9	0	0	0
UBTD2	212	283	711
SH3PXD2B	1864	1661	5247
NEURL1B	583	586	1862
DUSP1	1451	1314	3721
ERGIC1	2902	2943	9313
LOC100268168	4	6	14
RPL26L1	340	340	999
ATP6V0E1	3048	3042	8505
SNORA74B	0	0	0
CREBRF	64	82	178
BNIP1	65	88	233
NKX2-5	0	0	0
STC2	199	197	694
LOC285593	0	0	0
BOD1	376	349	1152
CPEB4	407	376	1137
C5orf47	0	0	1
MSX2	9	3	19
MIR4634	0	0	0
DRD1	0	0	0
SFXN1	419	398	1272
HRH2	0	0	0
CPLX2	9	0	1
THOC3	1015	1076	3041
FAM153B	0	3	3
LOC100507387	0	0	0
LOC643201	0	0	0
SIMC1	54	53	184
KIAA1191	1448	1446	4272
ARL10	31	27	76
NOP16	425	455	1333
HIGD2A	241	219	645
CLTB	3684	2855	9672
FAF2	1680	1780	5021
RNF44	1190	890	2871
CDHR2	5	2	4
GPRIN1	61	58	166
SNCB	0	6	2
MIR4281	0	0	0
EIF4E1B	0	0	0
TSPAN17	771	718	1942
UNC5A	0	0	0
HK3	2	1	0
UIMC1	345	417	1255
ZNF346	132	110	431
FGFR4	12	5	7
NSD1	1429	1537	4409
RAB24	215	181	451
PRELID1	1651	1494	4866
MXD3	57	45	199
LMAN2	2083	1353	4020
RGS14	226	153	527
SLC34A1	0	1	0
PFN3	0	0	0
F12	33	10	56
GRK6	267	191	612
PRR7-AS1	4	3	9
PRR7	14	8	21
DBN1	2940	1837	6151
PDLIM7	864	449	1537
DOK3	90	83	209
DDX41	1098	972	2907
FAM193B	505	443	1253
TMED9	1784	1633	4791
B4GALT7	320	232	815
LOC202181	9	10	34
FAM153A	1	0	0
LOC728554	50	46	166
PROP1	0	0	0
FAM153C	0	1	0
N4BP3	82	65	138
RMND5B	110	97	241
NHP2	784	555	1723
HNRNPAB	2091	2307	6989
COL23A1	7	3	0
CLK4	304	369	1053
ZNF354A	223	204	561
AACSP1	1	1	9
ZNF354B	44	48	112
ZFP2	8	18	35
ZNF454	14	13	39
GRM6	0	0	0
ZNF879	43	38	83
ZNF354C	30	29	88
ADAMTS2	0	0	1
RUFY1	341	337	1042
HNRNPH1	5217	5534	16422
C5orf60	0	1	0
CBY3	0	0	0
CANX	6493	7206	19389
MAML1	421	378	1193
LTC4S	1	1	2
MGAT4B	1503	1257	3637
MIR1229	0	0	0
SQSTM1	8038	7026	19871
TBC1D9B	1517	1236	3774
RNF130	190	220	594
MIR340	0	0	0
RASGEF1C	0	0	0
MAPK9	287	322	955
GFPT2	0	0	0
CNOT6	660	767	2003
SCGB3A1	1	0	0
FLT4	0	0	2
OR2Y1	0	0	0
MGAT1	2080	1768	5583
HEIH	71	42	154
LINC00847	76	92	189
ZFP62	310	339	883
BTNL8	0	0	0
BTNL3	0	0	0
BTNL9	0	1	7
OR2V1	0	0	0
OR2V2	0	0	0
TRIM7	257	257	764
MIR4638	0	0	0
TRIM41	562	484	1456
SNORD96A	16	15	45
SNORD95	0	1	3
TRIM52	105	103	247
DUSP22	199	218	623
IRF4	0	0	0
EXOC2	563	545	1506
HUS1B	1	0	1
FOXQ1	93	52	133
FOXF2	2	0	4
FOXC1	539	551	1573
GMDS	469	501	1474
MYLK4	10	10	16
WRNIP1	1099	1170	3284
SERPINB1	1611	1539	5400
MIR4645	0	0	0
SERPINB9	72	62	168
SERPINB6	1546	1614	5007
NQO2	33	41	117
HTATSF1P2	34	33	128
RIPK1	471	563	1588
BPHL	125	117	472
TUBB2A	192	213	593
TUBB2B	5	12	38
PSMG4	55	43	172
SLC22A23	849	724	1988
PXDC1	707	621	1831
FAM50B	48	39	130
PRPF4B	1228	1464	3574
FAM217A	0	0	0
C6orf201	0	2	8
ECI2	375	472	1427
CDYL	516	575	1450
RPP40	95	94	260
PPP1R3G	2	3	0
LYRM4	201	199	676
MIR3691	0	0	0
FARS2	127	134	364
NRN1	3	1	5
F13A1	0	0	0
LY86-AS1	0	0	0
LY86	0	0	0
RREB1	894	757	2097
SSR1	795	855	2216
CAGE1	0	2	0
RIOK1	290	276	885
DSP	26684	29591	85735
SNRNP48	126	130	368
BMP6	4	5	12
BLOC1S5-TXNDC5	0	0	0
TXNDC5	0	0	0
PIP5K1P1	0	0	0
BLOC1S5	0	0	0
EEF1E1	9	5	13
SCARNA27	2	1	2
SLC35B3	211	174	485
LOC100506207	1	6	6
HULC	0	2	0
TFAP2A	1749	1350	4512
LINC00518	1	4	5
MIR5689	0	0	0
GCNT2	282	356	925
C6orf52	5	12	23
PAK1IP1	227	247	619
TMEM14C	494	429	1194
TMEM14B	249	219	608
MAK	0	3	6
GCM2	0	0	0
SYCP2L	10	19	36
ELOVL2	0	0	2
ELOVL2-AS1	0	0	0
SMIM13	103	127	282
ERVFRD-1	0	0	0
NEDD9	835	857	2178
TMEM170B	1	0	0
ADTRP	66	97	199
HIVEP1	522	567	1710
EDN1	234	262	778
PHACTR1	13	5	26
LOC100130357	14	13	39
TBC1D7	133	165	412
GFOD1	174	119	395
SIRT5	177	188	507
NOL7	426	339	1101
RANBP9	572	623	1820
RNF182	0	0	1
CD83	21	38	65
JARID2	1083	995	2757
DTNBP1	76	67	235
MYLIP	30	34	95
MIR4639	0	0	0
GMPR	6	2	4
ATXN1	296	271	716
STMND1	0	0	0
RBM24	70	63	186
CAP2	136	117	407
FAM8A1	125	159	467
NUP153	493	558	1546
KIF13A	1638	1571	4717
NHLRC1	11	11	41
TPMT	342	423	1179
KDM1B	456	522	1269
DEK	743	783	2253
RNF144B	820	783	2280
MIR548A1	0	0	0
ID4	0	1	3
MBOAT1	66	33	196
E2F3	248	270	712
CDKAL1	229	250	619
SOX4	2078	2036	5821
PRL	0	0	0
HDGFL1	0	0	0
NRSN1	0	0	0
DCDC2	3	2	5
KAAG1	0	0	0
MRS2	298	298	935
GPLD1	4	13	20
ALDH5A1	51	73	137
KIAA0319	7	1	10
TDP2	446	443	1246
ACOT13	447	522	1535
C6orf62	335	338	958
GMNN	120	115	346
CMAHP	4	1	15
SCGN	0	0	0
HIST1H2AA	0	0	0
HIST1H2BA	0	0	0
HIST1H2APS1	0	0	0
SLC17A4	0	0	0
SLC17A1	0	0	0
SLC17A3	0	0	0
SLC17A2	0	0	0
TRIM38	500	546	1741
HIST1H1A	0	0	0
HIST1H3A	6	1	0
HIST1H4A	0	0	0
HIST1H4B	1	0	0
HIST1H3B	1	0	0
HIST1H2AB	0	0	1
HIST1H2BB	0	0	0
HIST1H3C	6	1	0
HIST1H1C	167	138	404
HFE	132	117	331
HIST1H4C	1	0	2
HIST1H1T	3	0	0
HIST1H2BC	152	91	353
HIST1H2AC	157	86	270
HIST1H1E	8	2	1
HIST1H2BD	771	637	1776
HIST1H2BE	0	0	0
HIST1H4D	5	1	12
HIST1H3D	20	13	37
HIST1H2AD	0	0	0
HIST1H2BF	5	4	14
HIST1H4E	4	2	17
HIST1H2BG	36	32	108
HIST1H2AE	15	7	8
HIST1H3E	12	14	44
HIST1H1D	1	1	4
HIST1H4F	0	0	0
HIST1H4G	0	0	0
HIST1H3F	4	0	0
HIST1H2BH	6	5	16
HIST1H3G	1	0	3
HIST1H2BI	1	0	3
HIST1H4H	36	26	77
BTN3A2	248	246	702
BTN2A2	212	237	613
BTN3A1	218	250	662
BTN2A3P	22	41	67
BTN3A3	153	165	445
BTN2A1	476	532	1505
LOC285819	0	0	0
BTN1A1	0	0	0
HCG11	29	33	140
HMGN4	511	571	1440
ABT1	242	199	664
ZNF322	59	44	136
GUSBP2	4	2	5
LINC00240	5	7	11
LOC100270746	2	9	10
HIST1H2BJ	23	25	102
HIST1H2AG	4	5	7
HIST1H2BK	338	291	763
HIST1H4I	1	0	1
HIST1H2AH	0	0	0
MIR3143	0	0	0
PRSS16	29	29	78
POM121L2	1	0	4
VN1R10P	0	0	0
ZNF204P	124	146	372
ZNF391	43	44	109
ZNF184	138	169	409
LOC100131289	3	6	8
HIST1H2BL	0	3	3
HIST1H2AI	6	8	10
HIST1H3H	4	4	14
HIST1H2AJ	0	1	3
HIST1H2BM	0	0	3
HIST1H4J	1	1	8
HIST1H4K	1	1	5
HIST1H2AK	7	0	0
HIST1H2BN	8	6	28
HIST1H2AL	0	0	1
HIST1H1B	0	0	0
HIST1H3I	1	0	0
HIST1H4L	0	0	0
HIST1H3J	0	0	0
HIST1H2AM	2	1	2
HIST1H2BO	2	1	1
OR2B2	0	0	0
OR2B6	0	0	2
ZNF165	102	151	374
ZSCAN12P1	63	73	196
ZSCAN16	44	60	169
ZKSCAN8	191	250	631
TOB2P1	8	10	25
ZSCAN9	160	179	475
ZKSCAN4	50	65	169
NKAPL	8	8	23
ZSCAN26	81	97	376
PGBD1	37	46	135
ZSCAN31	641	751	1746
ZKSCAN3	68	66	182
ZSCAN12	73	98	279
ZSCAN23	10	13	35
GPX6	0	0	0
GPX5	0	0	0
TRIM27	578	533	1546
ZNF311	42	47	162
LOC100129636	0	0	0
OR2W1	0	0	0
OR2B3	0	0	0
OR2J3	0	0	0
OR2J2	0	0	0
OR14J1	0	0	0
OR5V1	0	0	0
OR12D3	0	0	0
OR12D2	0	0	0
OR11A1	0	0	0
OR10C1	0	0	0
OR2H1	0	0	0
MAS1L	0	0	0
UBD	42	25	72
SNORD32B	0	0	0
OR2H2	0	0	0
GABBR1	418	369	1133
MOG	0	0	0
