X	covid	covid2	control	control2						
AC131281.1	0	0	0	0						
WASHC5-AS1	1	1	1	1						
AC124069.1	1	4	31	23						
IGHVII-65-1	0	0	0	0						
AC108515.1	0	0	0	0						
AC037450.1	0	0	0	0						
AC008378.2	0	0	0	0						
H2AZP2	0	1	1	1						
AC009630.2	47	19	13	8						
AC023632.1	0	0	1	0						
AC104997.1	0	0	0	0						
AC104211.2	0	0	0	0						
AC022559.1	0	0	0	0						
CALCP	0	0	0	0						
AC104986.1	0	0	3	2						
AC138356.3	0	0	0	0						
AC084026.1	0	0	0	0						
AC005531.1	0	0	0	0						
AC011586.1	0	0	0	0						
AC022616.3	0	0	0	0						
HOXA10-AS	0	0	0	0						
TRBV6-7	0	0	0	0						
AC079054.1	0	0	0	0						
AC084082.1	2	4	0	3						
IGKV1D-32	0	0	0	0						
AL137009.2	15	8	24	18						
AC134698.2	0	0	0	0						
AC083841.1	4	0	0	3						
AC117834.1	0	0	0	0						
AC139365.1	0	0	0	0						
LINC02153	0	0	0	0						
AC037459.2	98	92	78	100						
IGKV3-25	0	0	0	0						
GUSBP3	11	19	118	138						
AC090281.1	2	2	2	0						
AC011124.1	0	0	0	0						
AC090155.1	0	0	0	0						
AC103993.1	0	0	0	0						
AC015743.1	0	0	2	14						
IGHV3-65	0	0	0	0						
AC040970.1	39	37	42	101						
AC010306.1	0	1	0	1						
AC079209.1	7	0	1	0						
AC087273.1	0	0	1	0						
AC022790.1	0	0	0	0						
AP001574.1	1	1	0	1						
KLF3P1	3	2	5	0						
KRT18P41	2	1	0	0						
AC084116.1	1	0	0	0						
AC110998.1	1	0	1	0						
PGAM5P1	0	1	0	2						
AC103833.1	0	0	0	0						
HAUS1P3	0	0	0	0						
AC090192.2	8	0	3	0						
NRBF2P4	0	1	1	0						
HIGD1AP6	0	0	0	0						
LINC00599	0	0	0	0						
COX6CP8	0	0	0	0						
AC091144.1	0	0	0	0						
AP005902.1	0	0	0	0						
IGLV2-5	0	0	0	0						
AC111149.1	0	0	0	3						
LINC02143	0	0	0	0						
AC034114.1	0	0	0	0						
AC034114.2	0	0	1	0						
IGLVI-70	0	0	0	0						
IGHV3-36	0	0	0	0						
IGHV3-50	0	0	0	0						
IGLVIV-64	0	0	0	0						
AC113423.1	0	0	0	0						
MTND1P36	0	0	0	0						
IGHV3-76	0	0	0	0						
C8orf88	22	12	57	54						
SHLD3	127	143	43	48						
AC022784.2	0	0	0	0						
AC134043.2	4	7	7	19						
MTND4P7	0	0	0	0						
AC068228.2	9	7	11	0						
AC103726.1	0	0	0	0						
AC087664.1	0	0	3	0						
AC008410.1	0	0	0	0						
AC019176.2	0	0	0	0						
AP003354.2	0	0	0	0						
IGKV2-14	0	0	0	0						
AC100860.1	16	19	8	8						
DLGAP2-AS1	0	0	0	0						
AC008680.1	0	0	0	0						
AC090541.1	2	5	0	1						
AC027419.1	1	0	0	0						
AC022826.1	3	0	9	6						
IGHV1-67	0	0	0	0						
AC068672.1	0	0	0	0						
CCDC71L	741	783	420	354						
IGKV2-10	0	0	0	0						
LINC02209	0	0	0	0						
AC068880.2	0	0	0	0						
AC092819.1	0	0	0	0						
AP001330.1	0	0	0	0						
AC091175.1	0	0	0	0						
AC092828.1	3	8	60	56						
AC135166.1	3	0	0	0						
AC104012.2	0	0	0	0						
AC046195.1	0	0	5	10						
AC069113.1	0	0	0	0						
TRBV7-7	0	0	0	0						
MIOXP1	0	0	0	0						
HOXA10	0	0	22	0						
IGHVII-40-1	0	0	0	0						
AC022217.3	3	4	3	0						
AC008627.1	0	0	0	0						
LINC01845	2	0	3	6						
AC025647.3	0	2	0	0						
AC018541.1	2	0	0	0						
LINC01606	0	0	1	0						
STAU2-AS1	15	6	4	18						
IGHVIII-82	0	0	0	0						
TMEM200B	21	35	80	144						
PCDHGB6	131	99	384	286						
AC011676.1	1	1	2	0						
AC004080.1	0	0	0	0						
SERPINE3	0	0	0	3						
IGHVIII-76-1	2	0	0	0						
LINC01847	2	1	0	0						
AC022616.4	0	0	0	0						
C1orf210	1073	1158	1415	1657						
LINC00293	0	0	0	0						
LINC01932	11	8	30	78						
AC078906.1	0	0	0	0						
TMCC1P1	0	0	0	0						
AC134698.3	0	0	0	0						
AZIN1-AS1	22	32	109	111						
AC099554.1	0	0	0	0						
AC104051.1	0	0	0	0						
IGHV7-34-1	0	0	0	0						
AL606534.4	4	0	0	0						
RAD21-AS1	3	11	27	2						
SUMO2P19	0	0	0	1						
IGLV3-30	0	0	0	0						
AC024451.2	25	26	8	13						
AC008662.1	0	0	0	0						
AP005902.2	0	0	0	0						
AC146944.2	2	5	8	0						
AC132219.1	3	0	1	1						
AC009884.2	0	1	0	0						
AC018992.1	1	0	1	1						
IGLV3-29	0	0	0	0						
AC111149.2	116	70	33	10						
AC087272.1	0	0	0	0						
AC115837.1	8	16	11	29						
AC009623.2	0	0	0	0						
AC114550.2	0	1	0	0						
AC137579.1	0	0	1	1						
IGHVII-22-1	0	0	0	0						
AC109329.1	0	0	0	0						
AC040934.1	0	0	5	5						
AC008514.1	1	1	0	0						
COX6B1P6	0	0	0	0						
LINC01298	0	0	0	0						
TUG1	2497	2388	2865	3658						
AC105999.1	0	0	0	0						
AP003469.1	0	0	0	0						
AC084024.3	4	0	0	0						
AC008708.1	0	0	0	0						
AC087439.1	0	0	0	0						
IGHV3-37	0	0	0	0						
AC069120.1	2	2	0	0						
AC012400.1	0	0	0	0						
AC090809.1	0	0	0	0						
COPDA1	0	0	0	0						
IGKV1D-22	0	0	0	0						
GUSBP16	0	0	0	0						
IGHVIII-25-1	0	0	0	0						
TRNP1	1209	1189	924	576						
AC022034.3	2	7	0	4						
AC027308.1	0	0	0	0						
AC016405.1	2	1	3	1						
AC021785.1	0	0	0	0						
AC023644.1	0	0	0	0						
AC012103.1	0	0	0	0						
AC068672.2	0	0	7	4						
AC090155.2	0	0	0	0						
AC087518.1	0	0	0	0						
POU5F1P2	0	0	0	0						
AC100784.1	0	1	6	3						
AC124242.2	2	0	4	1						
AP003696.1	0	0	0	3						
IGHVII-49-1	0	0	0	0						
IGHVIII-5-1	0	0	0	0						
AC124067.1	0	0	0	0						
AC113133.1	0	0	1	0						
AC104561.1	0	0	0	0						
AC100870.1	0	0	0	0						
AC119403.1	22	12	13	23						
RANP9	0	0	0	0						
LINC00534	1	0	5	4						
AP003469.2	5	2	0	0						
AC016868.1	0	0	0	0						
AC069113.2	0	0	0	0						
AC021733.2	0	0	0	0						
AC078852.1	0	0	0	0						
AL356133.1	1	1	1	0						
VTA1P2	0	0	0	0						
AC091944.1	0	0	0	0						
AC034243.1	3	4	9	10						
EVX1-AS	0	0	0	0						
AC012613.2	0	0	3	0						
AC087341.1	0	0	0	1						
AC083973.1	7	5	9	14						
TRBV7-4	0	0	0	0						
AC068228.3	0	0	0	0						
IGHVIII-13-1	0	0	0	0						
AC107934.1	0	0	0	0						
AC124067.2	0	0	0	0						
AC016877.2	0	0	0	0						
AC023200.1	0	0	0	0						
LINC02159	73	81	25	7						
SNX18P27	0	0	0	0						
AC103853.1	0	1	0	0						
ZNHIT1P1	0	0	0	0						
AC008677.3	0	0	0	0						
AC090132.1	0	0	0	0						
AC025437.2	0	0	0	0						
HSPA8P13	0	0	0	0						
AC084116.2	0	0	0	0						
LINC01942	1	5	1	7						
AP005660.2	0	0	0	0						
AC011726.2	0	0	4	0						
SRPK2P	11	10	2	6						
AC027541.1	0	0	0	0						
AC083843.1	2	0	0	5						
LINC02237	0	0	0	0						
IGKV2-4	0	0	0	0						
RNU6-988P	1	0	0	0						
PCAT1	275	272	205	344						
CDC42P5	0	1	0	0						
IGHV3-33-2	0	0	0	0						
IGHV3-25	0	0	0	0						
AC245519.1	0	0	0	0						
AC027309.1	0	0	1	1						
AC113423.2	0	0	0	0						
IGLV3-6	0	0	0	0						
AC025437.3	0	0	0	0						
IGLV2-28	0	0	0	0						
AC124290.1	0	0	0	3						
NDUFA5P2	0	1	1	0						
AC022915.1	0	0	0	0						
AC136424.1	0	0	0	0						
SMIM18	3	12	32	16						
IGHVII-15-1	0	0	0	0						
IGKV2OR22-3	0	0	0	0						
IGKV1-35	0	0	0	0						
IGHVIII-26-1	0	0	0	0						
HMGB1P19	0	2	0	1						
IGHVIV-44-1	0	0	0	0						
IGHV7-40	0	0	0	0						
AP003355.1	0	0	0	0						
AC091819.1	0	0	0	0						
AC016074.1	0	0	0	0						
AC012574.1	0	0	0	0						
AC034205.1	0	0	0	0						
AC044893.1	0	2	5	8						
AC103769.1	5	5	8	7						
AC091185.1	0	0	0	4						
AC012213.1	0	0	5	7						
LINC01603	0	0	1	2						
AC122713.1	0	0	0	0						
IGKV1OR22-1	0	0	0	0						
IGHVII-26-2	0	0	0	0						
AC104561.2	0	0	0	0						
AC113145.1	0	0	0	0						
PCDHGA5	7	46	55	49						
IGKV2-36	0	0	0	0						
SINHCAFP3	0	0	0	0						
AC009930.1	0	0	0	0						
LINC02099	0	0	0	0						
IGHVII-30-1	0	0	0	0						
CDH12P3	2	2	9	4						
AC087808.1	0	0	0	0						
CYCSP23	0	0	0	0						
AC011586.2	0	0	2	0						
IGKV1-13	0	0	0	0						
AC025881.1	0	0	0	0						
AF121898.1	0	0	0	1						
IGKV3D-34	0	0	0	0						
ATP6V1G1P2	0	1	0	0						
AC060765.1	0	0	0	0						
MTCYBP19	0	0	0	0						
AC103957.1	0	0	0	0						
NACA2	0	0	3	2						
AC104257.1	0	0	2	6						
AC004080.2	0	0	0	0						
AC104393.1	1	0	0	0						
AC004944.1	0	0	0	0						
AC008562.1	0	0	0	0						
AC009908.1	0	0	0	0						
AC018682.2	0	0	1	0						
HMGB1P41	0	0	0	2						
XRCC6P4	0	0	0	0						
AC106801.1	0	0	0	0						
AC136628.3	0	0	2	0						
HPYR1	0	0	0	0						
MIR3142HG	2	16	24	22						
AC104350.1	0	0	1	0						
AC124290.2	0	0	0	0						
AC104966.1	30	28	211	310						
AC090802.1	0	0	0	0						
AC008601.1	0	0	0	0						
AC087752.2	0	2	1	1						
AC084116.3	3	5	0	0						
AC107909.1	0	0	0	0						
TRBV6-8	2	0	0	0						
AC120193.1	0	0	7	3						
AC138832.1	0	0	1	1						
PCDHGA7	30	20	93	111						
AC008662.2	0	0	0	0						
AC018442.2	0	2	1	6						
FAM86HP	12	11	26	44						
SEPTIN10P1	2	0	4	1						
SDR16C6P	1	0	0	0						
AC083923.1	0	0	0	0						
C1GALT1P3	0	0	0	0						
IGHV3-52	0	0	0	0						
IGLVVI-22-1	0	0	0	0						
AP001858.1	0	0	0	0						
PYDC2	0	0	0	0						
CA3-AS1	12	6	61	27						
AC016065.2	1	3	2	8						
AC021915.1	0	0	0	0						
HOXA-AS2	3	5	26	20						
AC090578.1	0	0	6	0						
LINC01414	0	0	0	0						
AC011978.1	0	0	0	0						
MTCO1P4	0	0	2	0						
AC100849.1	0	2	0	0						
AC024568.1	5	2	16	12						
OSGEPL1-AS1	9	0	8	12						
AC013643.1	0	0	0	0						
AC133634.1	0	0	0	0						
AC107909.2	0	0	0	0						
NKX2-1-AS1	325	410	236	218						
AC100823.2	0	0	0	0						
AC025871.1	1	1	4	0						
AC090572.1	0	0	0	0						
VENTXP5	0	0	0	0						
RNF5P1	14	27	14	32						
AC087369.1	0	0	0	0						
AC108482.1	0	0	0	0						
AC024382.1	1	1	0	0						
AC021744.1	0	0	0	0						
AF181450.1	0	0	0	0						
AC117834.2	0	0	0	2						
IGKV1-22	0	0	0	0						
SUMO2P16	0	0	0	0						
TRMT10BP1	0	0	1	0						
AC105031.1	0	0	0	0						
AC090579.1	0	7	9	7						
AC018953.1	0	0	0	0						
AC091987.1	0	0	0	0						
AP003351.1	0	0	0	4						
AC067817.1	0	0	0	0						
IGHV3-30-2	0	0	0	0						
IGLV3-13	0	0	0	0						
KCNIP1-AS1	0	0	0	0						
IGKV2-38	0	0	0	0						
AC110741.1	0	0	0	0						
LINC01300	0	0	0	0						
AC103952.2	0	2	0	0						
SLC10A5	7	9	24	7						
AC008446.1	0	0	0	0						
RN7SL260P	0	0	0	0						
CERNA3	0	0	0	0						
AC131254.2	0	0	0	0						
HNRNPA1P38	0	0	0	0						
AFG3L2P1	0	0	2	1						
AC104316.1	0	0	2	0						
AC022915.2	0	0	0	0						
AP006245.1	0	0	0	0						
VN1R46P	0	0	0	0						
WBP1LP3	0	0	0	0						
AC008572.1	0	0	0	0						
AC025674.2	0	0	0	1						
AC069113.3	0	0	0	0						
AC107959.3	12	17	11	8						
AC109479.2	0	0	0	0						
GRPEL2-AS1	1	0	2	5						
AC068413.1	0	0	0	0						
AC144568.1	0	0	1	0						
RPSAP74	0	0	0	0						
AC027419.2	0	0	0	0						
AC009879.1	0	0	2	0						
IGKV2-23	0	0	0	0						
EIF5AL1	62	68	29	15						
AC105180.1	0	0	0	0						
AC110011.1	0	0	0	0						
AP000426.1	0	0	0	0						
AC026407.1	2	0	0	0						
IGLV7-35	0	0	0	0						
AC084026.2	0	0	0	0						
AP002852.1	0	0	3	8						
AC091096.1	0	0	0	0						
IGHVIII-67-3	0	0	0	0						
AC022893.1	3	0	0	0						
IGLVV-58	0	0	0	0						
AF186190.1	0	0	0	0						
SUMO2P18	0	0	0	0						
AC104964.1	2	1	0	0						
AF279873.3	0	0	0	0						
AC024958.1	0	0	0	0						
LINC02845	0	0	0	0						
AC108863.2	0	0	0	0						
AC010476.1	0	0	0	0						
KCNIP1-OT1	0	0	0	0						
AC018437.2	0	0	0	0						
PRSS51	8	8	1	0						
SMARCE1P4	0	0	0	0						
SOD1P3	0	0	0	1						
AC136628.4	0	0	0	0						
AC009185.1	0	0	0	0						
AC105029.1	0	0	0	0						
JCHAINP1	0	0	0	0						
AC090987.1	0	0	0	0						
AC022634.1	0	0	3	5						
LINC01592	0	3	0	0						
AC138646.1	0	0	0	0						
AC008464.1	0	0	0	3						
ZFHX4-AS1	0	0	0	1						
NPM1P52	0	0	0	0						
AC012413.1	0	0	0	0						
AC022733.1	2	1	0	0						
AP000424.1	0	0	14	4						
AC100821.1	0	0	0	3						
AC103778.1	0	0	0	0						
GASAL1	34	29	13	5						
AC073581.1	0	0	0	0						
AC027117.1	139	167	325	372						
AC105177.1	0	0	0	0						
AC025437.4	0	0	0	0						
IGHVII-78-1	0	1	0	0						
AC023194.3	0	0	0	0						
TAGLN2P1	30	9	6	17						
UBE2HP1	4	2	2	1						
AC104964.2	0	0	1	0						
LINC02844	0	0	0	0						
AC093331.1	0	0	0	0						
AC013509.1	0	0	0	0						
AC022695.2	0	0	0	0						
AC027309.2	5	0	8	4						
BUD31P1	0	0	0	0						
MTND5P41	0	0	0	0						
LINC01484	11	6	22	22						
AC008456.1	0	0	0	0						
AC026904.2	0	0	2	0						
AC021678.2	1	0	0	0						
IGKV2OR22-4	0	0	0	0						
IGHEP1	2	0	0	0						
AC008415.1	0	0	0	0						
AC011008.1	2	5	0	14						
KBTBD11-OT1	1	0	4	1						
AC103834.1	0	0	0	1						
AC136601.1	0	0	0	0						
AC084128.1	0	0	0	0						
LINC02847	0	0	0	0						
IGHV1-68	0	0	0	0						
AC023632.2	3	7	11	6						
AC011632.1	0	0	0	1						
AC022616.5	0	0	0	0						
AC026979.1	0	0	3	3						
IGHV1-14	0	0	0	0						
ALG11	2312	2087	1708	1896						
AC023866.1	0	0	0	1						
AC022274.1	0	0	1	1						
AC091819.2	0	0	0	0						
IGHVII-53-1	0	0	0	0						
AC083841.2	0	2	0	0						
MINCR	50	60	183	208						
AP005357.1	0	0	0	0						
ATXN7L3B	5408	5003	4069	4834						
AC022973.3	7	0	2	1						
SUMO2P20	0	1	0	0						
AC010834.1	0	24	0	25						
AC107934.2	0	0	0	0						
AC126915.1	0	0	0	0						
AC013562.1	0	0	0	0						
AC083841.3	0	0	0	0						
PRKDC	1227	1757	1542	1166						
AC015909.2	0	0	0	6						
PCDHGA6	11	27	41	54						
IGKV2-19	0	0	0	0						
LZTS1-AS1	0	0	0	0						
LINC01289	0	0	0	0						
AC021736.1	0	0	0	0						
AC022217.4	0	0	1	3						
AP003469.3	1	1	0	0						
OTUD6B-AS1	1464	1388	1220	1816						
RNU6-323P	0	0	0	0						
AP001205.1	0	0	0	0						
LNCOC1	8	20	15	16						
IGHV3-60	0	0	0	0						
MARK2P11	0	0	0	0						
AC025442.1	13	24	17	11						
AC091163.1	0	0	0	0						
AC091182.2	5	6	0	0						
IGHVII-62-1	0	0	0	0						
CYP4F44P	0	0	0	0						
AC022695.3	0	0	0	0						
AC090136.1	0	0	0	0						
IGLVI-63	0	0	0	0						
AC087620.1	6	3	11	8						
IGHGP	0	0	0	0						
CARS1P2	0	0	0	0						
IGHV3-57	0	0	0	0						
AC009812.2	0	0	0	0						
AC069133.1	0	0	0	0						
IGHV3-6	0	0	0	0						
AC019257.1	6	14	46	35						
IGKV2D-19	0	0	0	0						
AC091946.1	0	0	1	0						
PCDHGA8	2	16	33	46						
AC008663.1	0	1	3	0						
HMGB1P23	0	0	0	2						
TPTE2P1	2	3	7	27						
AC112191.1	0	1	5	2						
C8orf37-AS1	3	7	29	19						
AC114550.3	1	0	0	0						
AC100802.1	0	0	0	0						
AC099520.2	0	0	0	0						
AC026616.1	0	0	0	0						
AC090572.2	0	0	0	0						
IGLVVI-25-1	0	0	0	0						
IGHVIII-2-1	0	0	0	0						
ZNF317P1	0	0	0	0						
AC091163.2	0	0	0	0						
AC100807.2	0	0	0	0						
AC090735.1	0	0	0	1						
AC008429.2	12	18	3	3						
IGLV3-15	0	0	0	0						
LINC02219	0	0	0	0						
NARS1P2	0	0	0	0						
AC007991.1	0	0	0	0						
AC025437.5	0	0	0	0						
AC008066.1	0	0	0	0						
IGLV10-67	0	0	0	0						
MTND1P5	0	0	0	0						
AC104248.1	0	0	0	0						
UTP14C	0	0	0	0						
AC008694.1	0	0	0	0						
LINC01030	0	0	1	0						
AC090136.2	0	0	0	0						
AC010376.1	0	0	0	0						
SIRLNT	0	0	0	0						
AC091163.3	0	0	0	0						
AC245164.1	0	0	0	0						
AC108002.1	0	0	0	0						
LINC01170	2	0	8	3						
IGHVII-46-1	0	0	0	0						
AL160262.1	0	0	0	0						
PSAT1P1	0	0	0	0						
AC136424.2	0	0	0	0						
COX6B1P4	0	0	0	0						
MRPS36P3	0	0	0	0						
AC138866.1	66	66	143	213						
AC120036.2	0	0	0	0						
IGLV1-41	0	0	1	0						
LINC01151	22	10	10	3						
IGHVII-67-1	0	0	0	0						
AC090796.1	0	0	0	0						
IGLV3-24	0	0	0	0						
IGLV1-62	0	0	0	0						
AP003472.1	0	6	0	0						
AC097173.3	0	0	0	0						
WBP1LP10	0	0	0	0						
MTND2P38	0	0	0	0						
AC067817.2	0	0	1	3						
ETV3L	0	0	0	0						
AC107373.1	0	0	0	0						
AC022868.1	13	11	5	0						
AC025524.1	0	0	0	0						
AC105031.2	0	0	0	0						
AC090197.1	9	5	23	37						
AC007991.2	0	0	0	0						
AC044836.1	0	0	0	0						
AC024681.1	0	0	0	0						
AP003472.2	0	0	1	0						
AC104989.1	0	0	0	0						
AC064807.2	1	0	0	0						
AC139365.2	0	0	0	0						
PCDHGA10	177	176	337	395						
AC010834.2	1	0	1	0						
AC090539.1	0	0	0	0						
AC025370.1	0	0	2	0						
AC011383.1	1	0	0	0						
AC246817.1	0	0	3	5						
AC010834.3	0	2	30	21						
AC245187.1	0	0	0	0						
AC022679.1	0	0	0	0						
AC008619.1	0	0	0	0						
AC018616.1	0	0	0	0						
IGKV3-34	0	0	0	0						
SLC2A3P1	0	0	0	0						
IGHVIII-47-1	0	0	0	0						
AC131025.1	0	0	0	0						
TMEM97P2	0	0	0	0						
FER1L6-AS2	0	3	0	2						
PIGFP1	1	1	0	1						
IGKV1-32	0	0	0	0						
AC068075.1	0	0	0	0						
AC083836.1	0	0	0	1						
PCDHGA11	90	37	86	65						
IGLVIV-66-1	0	0	0	0						
AC013643.2	0	0	2	0						
LINC01608	0	0	2	2						
AC087752.3	17	14	15	18						
AC087664.2	0	0	0	0						
AC009435.1	0	0	0	1						
AC105233.2	0	0	0	0						
AC099548.2	128	102	300	310						
IGHV3-19	0	0	0	0						
AC022616.6	0	0	0	0						
ARF1P3	0	0	0	0						
AC026688.1	2	3	1	1						
AC022784.3	0	0	0	0						
AC090150.1	0	0	0	0						
IGLVI-38	0	0	0	0						
AC023202.1	0	0	0	0						
AC022915.3	0	0	0	0						
FAM85B	1	8	10	22						
AC011124.2	0	0	0	0						
IGHVII-44-2	0	0	0	0						
AC144568.2	0	0	0	0						
AC034205.2	0	0	0	0						
LINC01419	0	0	0	0						
AC067904.2	0	1	2	0						
CDH12P4	0	0	0	0						
AC103409.1	0	0	0	0						
AC090150.2	0	0	0	0						
IGKV2D-10	0	0	0	0						
AC021678.3	0	0	0	0						
AC104115.2	1	0	5	6						
PCDHGB2	21	13	65	22						
AP003467.1	0	0	1	0						
AC018442.3	1	0	0	2						
IGLV3-26	0	0	0	0						
MAPRE1P1	0	0	0	0						
MTCO1P49	0	0	0	0						
AC226119.1	0	0	3	0						
THAP12P7	3	2	0	0						
IGLV3-31	0	0	0	0						
AC091982.1	1	2	0	1						
AP002981.1	0	0	0	0						
AC103831.1	0	0	0	0						
AC011369.1	0	0	0	0						
AC011257.1	0	0	0	0						
AC002428.1	0	0	0	0						
TNFRSF10A-AS1	48	47	36	36						
AC105118.1	0	1	2	7						
AC019270.1	0	0	3	0						
MRPL49P2	0	0	0	0						
IGLVIV-53	0	0	0	0						
IGHV3-63	0	0	0	0						
NATP	0	0	0	0						
AC007991.3	0	0	0	1						
AC026421.1	0	0	0	0						
IGHVII-51-2	0	0	0	0						
AP001330.2	0	0	0	0						
KRT18P37	0	0	0	0						
AC027117.2	54	66	233	288						
AC024995.1	0	1	0	0						
AC008489.1	0	0	0	0						
AC008705.2	0	0	0	0						
VPS13B-DT	7	16	37	38						
AC022634.2	0	0	1	1						
AC087360.1	0	0	0	0						
HIGD1AP18	0	0	0	0						
PCDHGB4	344	363	386	321						
HMGN1P38	58	60	30	44						
AC008663.2	0	0	0	4						
AC073023.1	0	0	0	0						
IGHV3-22	0	0	0	0						
CLDN23	1016	1140	599	628						
LINC01863	2	4	0	1						
AC016885.1	0	0	0	0						
AC009563.1	1	0	2	0						
IGLV3-2	0	0	0	0						
RPL31P40	0	2	0	0						
AC008438.2	0	0	0	0						
AC008514.2	4	5	0	2						
AC022730.4	2	0	0	2						
AC016573.1	0	1	0	0						
MTND2P7	0	0	0	0						
CDC42P3	0	1	0	0						
MAL2-AS1	4	13	17	27						
AC079296.1	0	1	6	2						
NRG1-IT1	0	0	0	0						
AC018861.1	0	0	0	0						
AC022679.2	0	0	0	0						
MTCO2P4	0	0	0	0						
AC026689.1	1	0	3	0						
AC109479.3	0	0	0	0						
AC010609.1	0	0	0	0						
ALG1L13P	5	0	12	14						
AC100810.1	256	296	485	468						
AC087627.1	0	0	0	5						
AC145141.2	0	0	0	0						
AC104561.3	0	0	0	0						
AC079015.1	0	0	0	0						
IGHVIII-38-1	0	0	0	0						
AP001207.2	2	3	1	5						
AC103726.2	0	0	1	0						
AC104027.1	0	0	1	0						
NDUFB9P3	0	0	0	0						
RPL10P18	0	0	0	0						
AC090142.3	0	0	0	0						
IGKV2-29	0	0	0	0						
IGKV3D-31	0	0	0	0						
AC090753.1	0	0	0	0						
AC084706.1	0	0	0	0						
AC012574.2	0	0	0	0						
AC003991.2	7	4	13	11						
ZNF260	1384	1370	1214	1487						
AC104232.1	0	0	0	0						
AC084768.1	0	0	0	0						
LINC00051	0	0	0	0						
IGKV2D-38	0	0	0	0						
AC011333.1	0	0	0	0						
RPL10P8	0	0	0	0						
MAP2K1P1	1	2	3	2						
AC009902.1	0	0	0	0						
MTND4LP26	0	0	0	0						
ALG1L10P	1	1	2	5						
IGHEP2	2	1	3	13						
AC011676.2	0	0	0	0						
AC104211.3	0	0	0	0						
AC027031.1	0	0	0	0						
PKMP4	1	0	0	0						
AP001207.3	23	15	35	19						
BRIX1P1	0	0	0	0						
AC015468.2	0	0	0	0						
AC009902.2	3	2	9	8						
AC083843.2	0	0	0	2						
IGLC4	0	0	0	0						
IGLC5	0	0	0	0						
AC022858.1	1	1	5	0						
AC087855.1	0	0	0	0						
INTS9-AS1	1	0	0	6						
AC104117.3	0	3	0	0						
IGHVIII-67-2	0	0	0	0						
AC021733.3	0	0	0	0						
AC092818.1	1	1	0	3						
AC027801.4	0	0	0	0						
AC103719.1	0	0	0	0						
AC021546.1	0	0	0	0						
AC011365.2	0	0	1	0						
AC011632.2	0	0	0	0						
AC034154.1	0	1	0	0						
IGHVIII-22-2	0	0	0	0						
IGHV1-17	0	0	0	0						
AC025437.6	0	0	0	0						
AC105150.1	2	0	0	0						
NRG1-IT3	0	0	0	0						
AC018861.2	0	0	0	0						
AC011853.1	0	0	0	0						
IGHVIII-67-4	0	0	0	0						
IGHVIII-5-2	0	0	0	0						
AC087273.2	0	1	0	1						
AC009597.1	0	0	0	0						
IGHV3-71	0	0	0	0						
AC084346.1	0	2	0	1						
AC022778.1	0	0	2	0						
AC091144.2	0	1	4	0						
DUXAP2	1	0	0	0						
AC105206.2	0	2	3	13						
AC024451.3	0	0	0	0						
LINC01938	0	0	0	0						
AC123767.1	0	0	0	0						
AC134698.4	0	0	0	0						
AC104576.1	0	0	0	0						
IGLVVII-41-1	0	0	0	0						
IGLVV-66	0	0	0	0						
AC110053.1	0	0	0	0						
IGLV3-7	0	0	0	0						
AC012339.2	0	0	0	0						
AC115837.2	0	0	0	0						
LINC01299	0	0	0	0						
LINC01591	5	0	0	0						
AP001208.1	0	0	0	0						
AC131254.3	0	0	0	0						
LYN	7545	8382	3847	5447						
SLC2A3P4	0	4	6	1						
AC016885.2	0	0	0	0						
MTND2P32	0	0	0	1						
AC022784.4	0	0	0	0						
AC021613.1	0	0	0	0						
PINX1	807	760	153	180						
AC078852.2	0	0	0	0						
AC068672.3	0	0	0	0						
IGKV3D-25	0	0	0	0						
IGKV2-26	0	0	0	0						
AC005740.3	0	0	0	1						
LINC02055	5	2	10	25						
AC090136.3	0	0	0	0						
PPIAP85	0	0	0	0						
AC136777.2	0	0	0	0						
VENTXP6	0	3	0	0						
LINC01848	0	0	0	0						
RBPMS-AS1	256	233	496	790						
AC124067.3	0	0	2	0						
AP003467.2	0	0	0	0						
AC090193.1	0	0	0	0						
HMGN1P28	0	0	0	0						
AC090572.3	0	0	0	0						
MTCYBP20	0	0	0	0						
LINC02842	0	0	0	0						
LINC02155	0	0	0	0						
PCDHGB7	203	142	321	570						
LINC02839	0	0	0	0						
EEF1A1P37	0	0	0	0						
CD8B2	0	0	0	0						
IGLCOR22-1	0	0	0	0						
AC108449.1	0	0	0	0						
LINC01947	0	0	0	0						
AC093367.1	1	0	1	0						
MTND6P3	0	0	0	0						
IGHVII-74-1	0	0	0	0						
AC091939.1	0	0	0	0						
AC064807.3	0	0	0	0						
AC113386.1	0	0	0	0						
AC104051.2	0	0	0	0						
AC103853.2	0	1	0	0						
AC022733.2	4	2	0	0						
AC134698.5	0	0	0	0						
HMGB1P46	0	0	0	0						
AC087664.3	0	0	0	0						
NIPA2P4	0	0	2	0						
PPIAP84	0	0	2	0						
AC103957.2	9	8	2	8						
CRYZL2P-SEC16B	41	84	170	124						
MTND6P20	0	0	0	0						
IGKV2-18	0	0	0	0						
AC104117.4	0	0	0	0						
AC110288.1	0	0	0	0						
IGLVIV-65	0	0	0	0						
AC009812.3	0	3	10	0						
AC025434.1	0	0	0	0						
AC008663.3	0	0	0	0						
AC090739.1	3	1	6	9						
CASC19	85	115	178	120						
IGHV8-51-1	0	0	0	0						
AC008802.1	3	0	0	0						
AC114321.1	0	0	0	0						
RNU5A-3P	0	0	0	0						
IGHV1-12	0	0	0	0						
